id,name,genres
2QOIawHpSlOwXDvSqQ9YJR,Antonio Vivaldi,"['baroque', 'classical', 'early music', 'italian baroque']"
70cRZdQywnSFp9pnc2WTCE,Simon & Garfunkel,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']"
2HcwFjNelS49kFbfvMxQYw,Robbie Williams,"['dance rock', 'europop']"
7bPs6jf983f0bjRAt1yxDM,Patrick Watson,"['indie folk', 'indie quebecois']"
1YfEcTuGvBQ8xSD1f53UnK,Busta Rhymes,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']"
4STHEaNw4mPZ2tzheohgXB,Paul McCartney,"['classic rock', 'mellow gold', 'rock', 'soft rock']"
4TK1gDgb7QKoPFlzRrBRgR,Los Enanitos Verdes,"['argentine rock', 'latin alternative', 'latin pop', 'latin rock', 'mexican pop', 'rock en espanol', 'ska argentino']"
60uh2KYYSCqAgJNxcU4DA0,Hombres G,"['latin alternative', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish rock']"
4MXUO7sVCaFgFjoTI5ox5c,Sufjan Stevens,"['art pop', 'baroque pop', 'chamber pop', 'indie pop', 'indie rock', 'singer-songwriter']"
5a2EaR3hamoenG9rDuVn8j,Prince,"['funk', 'funk rock', 'minneapolis sound', 'rock', 'synth funk']"
54R6Y0I7jGUCveDTtI21nb,Boney M.,['europop']
5W5bDNCqJ1jbCgTxDD0Cb3,Willie Nelson,"['classic country pop', 'classic texas country', 'country', 'country rock', 'nashville sound', 'outlaw country', 'singer-songwriter']"
44NX2ffIYHr6D4n7RaZF7A,Van Morrison,"['classic rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
